City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,gore,-46.1028,168.9436,6.32,89,21,1.2,NZ,1707320978
83,qaqortoq,60.7167,-46.0333,-6.08,67,99,2.7,GL,1707320512
84,udayagiri,20.1333,84.3833,19.93,63,0,1.08,IN,1707320980
85,invercargill,-46.4,168.35,10.57,92,31,1.79,NZ,1707320981
86,lorengau,-2.0226,147.2712,26.24,88,100,12.39,PG,1707320558
87,vorgashor,67.5833,63.95,-10.34,89,100,3.83,RU,1707320982
88,kamaishi,39.2667,141.8833,0.02,76,9,1.95,JP,1707320983
89,ribeira grande,38.5167,-28.7,17.22,88,75,9.77,PT,1707320395
90,saudarkrokur,65.7461,-19.6394,-5.44,74,62,3.36,IS,1707320730
91,panorama,40.5878,23.0315,14.6,46,0,1.54,GR,1707320987
92,fort bragg,35.139,-79.006,7.89,44,0,7.72,US,1707320611
93,port saint john's,-31.6229,29.5448,24.17,77,34,5.78,ZA,1707320388
94,pikalevo,59.5183,34.1664,-15.15,94,100,3.59,RU,1707320989
95,antigonish,45.6169,-61.9986,-1.03,89,99,0.89,CA,1707320990
96,tvoroyri,61.5556,-6.8111,3.53,58,60,6.35,FO,1707320990
97,luderitz,-26.6481,15.1594,22.67,62,69,9.79,NA,1707320991
98,malanje,-9.5402,16.341,20.1,93,95,0.68,AO,1707320992
99,udachny,66.4167,112.4,-33.19,100,96,1.34,RU,1707320529
100,rio grande,-32.035,-52.0986,31.06,61,11,4.49,BR,1707320369
101,uturoa,-16.7333,-151.4333,28.56,86,100,14.62,PF,1707320460
102,ensenada,31.8667,-116.6167,11.64,80,94,5.29,MX,1707320997
103,illizi,26.4833,8.4667,22.89,11,0,5.93,DZ,1707320997
104,walvis bay,-22.9575,14.5053,25.53,61,0,1.54,NA,1707320476
105,happy valley-goose bay,53.3168,-60.3315,-10.83,62,40,2.57,CA,1707320714
106,le port,-20.9373,55.2919,27.98,82,90,2.95,RE,1707321000
107,lihue,21.9789,-159.3672,22.77,77,20,8.75,US,1707320567
108,zeya,53.75,127.2667,-18.62,94,13,2.14,RU,1707320581
109,puerto baquerizo moreno,-0.9,-89.6,27.55,83,40,4.63,EC,1707320453
110,birch bay,48.9179,-122.7446,5.3,93,90,3.13,US,1707321003
111,nishinoomote,30.7333,131.0,12.77,62,100,9.21,JP,1707321005
112,merizo village,13.2658,144.6691,26.31,78,100,7.3,GU,1707321005
113,santa rosa de calamuchita,-32.0691,-64.5363,39.28,26,63,6.83,AR,1707320785
114,west island,-12.1568,96.8225,27.99,78,65,3.09,CC,1707321008
115,ulan bator,47.9077,106.8832,-28.93,69,0,1.0,MN,1707321009
116,alice springs,-23.7,133.8833,25.75,30,21,5.14,AU,1707320815
117,iskateley,67.6803,53.1512,-27.21,100,91,1.79,RU,1707320504
118,nelson bay,-32.7167,152.15,21.73,80,100,5.81,AU,1707321011
119,mata-utu,-13.2816,-176.1745,27.35,87,100,8.66,WF,1707320494
120,college,64.8569,-147.8028,-14.5,81,75,0.0,US,1707321013
121,shetpe,44.1667,52.1167,4.49,90,100,8.46,KZ,1707321014
122,monrovia,6.3005,-10.7969,34.87,63,7,5.83,LR,1707321015
123,tamanrasset,22.785,5.5228,20.95,6,0,4.63,DZ,1707321016
124,baruun-urt,46.6806,113.2792,-24.45,100,72,2.02,MN,1707320737
125,isafjordur,66.0755,-23.124,-0.98,69,40,4.12,IS,1707320437
126,mount gambier,-37.8333,140.7667,10.79,90,73,2.49,AU,1707320629
127,mareeba,-17.0,145.4333,23.4,91,100,0.8,AU,1707321020
128,port mathurin,-19.6833,63.4167,27.15,75,29,7.72,MU,1707320675
129,atafu village,-8.5421,-172.5159,29.1,77,100,10.42,TK,1707320484
130,kingston,17.997,-76.7936,25.65,69,20,8.23,JM,1707321023
131,santa rosalia,27.3167,-112.2833,14.8,63,0,5.13,MX,1707321024
132,thompson,55.7435,-97.8558,-17.91,85,100,1.54,CA,1707321026
133,jamestown,42.097,-79.2353,3.64,73,0,1.54,US,1707320823
134,norilsk,69.3535,88.2027,-16.99,94,95,1.99,RU,1707321028
135,kharp,66.8014,65.8081,-8.04,95,100,4.17,RU,1707320828
136,jalqani,12.4486,34.2186,29.22,16,60,4.58,SD,1707321030
137,carnarvon,-24.8667,113.6333,26.8,62,69,2.13,AU,1707321031
138,tukrah,32.5341,20.5791,16.41,67,62,4.75,LY,1707321032
139,solnechnyy,50.7214,136.6319,-21.65,99,100,0.64,RU,1707320869
140,laojunmiao,39.8333,97.7333,-7.2,56,0,0.98,CN,1707321035
141,businga,3.3333,20.8833,35.4,20,8,0.81,CD,1707321036
142,vila franca do campo,37.7167,-25.4333,18.23,96,100,8.55,PT,1707321037
143,whitehorse,60.7161,-135.0538,-23.44,72,0,0.0,CA,1707320471
144,saldanha,-33.0117,17.9442,26.03,73,39,4.01,ZA,1707321039
145,north bend,43.4065,-124.2243,6.59,93,100,3.6,US,1707320995
146,weno,7.4515,151.8468,27.97,74,75,3.6,FM,1707320712
147,villa gesell,-37.2639,-56.973,27.81,63,100,2.82,AR,1707320574
148,sawai madhopur,25.9833,76.3667,15.52,36,51,2.37,IN,1707321043
149,beloyarskiy,63.7119,66.6722,0.0,95,100,3.58,RU,1707321043
150,hami,42.8,93.45,-2.37,49,100,1.74,CN,1707321044
151,miles city,46.4083,-105.8406,0.54,93,100,3.6,US,1707321045
152,wailua homesteads,22.0669,-159.378,22.44,77,20,8.75,US,1707321046
153,luanda,-8.8368,13.2343,33.0,55,75,3.09,AO,1707321047
154,kismayo,-0.3582,42.5454,27.1,83,3,6.32,SO,1707321048
155,felsozsolca,48.1,20.8667,10.62,63,87,6.54,HU,1707321049
156,el calafate,-50.3408,-72.2768,12.03,52,42,9.56,AR,1707321049
157,kars,40.602,43.095,1.25,69,0,6.69,TR,1707321050
158,ouesso,1.6136,16.0517,37.59,16,10,2.06,CG,1707321051
159,newman,37.3138,-121.0208,7.94,92,39,3.02,US,1707321052
160,bac lieu,9.285,105.7244,25.46,81,100,2.84,VN,1707321053
161,oyama,36.3,139.8,6.44,56,47,0.36,JP,1707321054
162,juegang,32.3174,121.1855,0.98,73,18,3.29,CN,1707321055
163,sao vicente,-23.9631,-46.3919,35.71,70,75,2.68,BR,1707320514
164,barro,-6.7167,-38.8667,37.85,25,70,3.14,BR,1707321057
165,tolanaro,-25.0319,46.9987,24.04,94,75,3.09,MG,1707320709
166,puerto deseado,-47.7503,-65.8938,15.31,43,70,17.67,AR,1707321058
167,new plymouth,-39.0667,174.0833,14.34,87,7,1.61,NZ,1707320792
168,roma,43.2128,-75.4557,3.38,74,80,0.45,US,1707320491
169,boa vista,2.8197,-60.6733,30.99,58,75,4.12,BR,1707320685
170,kristiansund,63.1115,7.732,-3.64,68,0,1.54,NO,1707321063
171,aleshtar,33.8633,48.2619,5.02,83,78,1.21,IR,1707321064
172,kobayashi,31.9833,130.9833,8.72,94,84,1.92,JP,1707321065
173,vodice,43.7608,15.7828,14.28,82,83,6.45,HR,1707321066
174,goure,13.9835,10.2704,27.82,9,65,5.77,NE,1707321067
175,qamdo,31.1667,97.2333,-5.24,30,100,0.62,CN,1707321068
176,mildura,-34.2,142.15,18.93,51,0,4.73,AU,1707320980
177,fale old settlement,-9.3852,-171.2468,28.34,83,100,10.98,TK,1707320511
178,labytnangi,66.6572,66.4183,-10.41,95,100,6.23,RU,1707320698
179,ulsteinvik,62.3432,5.8487,-1.25,75,69,2.24,NO,1707321071
180,hawaiian paradise park,19.5933,-154.9731,17.73,91,100,2.06,US,1707320507
181,kill devil hills,36.0307,-75.676,8.0,77,100,8.23,US,1707321073
182,lubumbashi,-11.6609,27.4794,19.91,91,95,1.35,CD,1707321074
183,holualoa,19.6228,-155.9522,19.91,80,100,1.54,US,1707320610
184,edinburg,55.9521,-3.1965,5.27,62,40,2.57,GB,1707321033
185,nizhniy ingash,56.2,96.53,-18.47,100,82,0.79,RU,1707321077
186,pahrump,36.2083,-115.9839,5.14,94,100,1.79,US,1707320892
